ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,query,qclass,label_service
1718640999.338699,CvNUlU32rx627I61Ab,192.168.1.4,56423.0,172.64.33.209,53.0,udp,230.24.211.18.in-addr.arpa,1.0,dns
1718640397.647952,Cc4LDT1nX5X1BT0mli,192.168.1.4,53629.0,192.168.1.1,53.0,udp,onss.kali.org,1.0,https
1718640400.105078,C0lfXp46hHNqRBwzIe,192.168.1.4,52925.0,192.168.1.1,53.0,udp,rdb-rdg.kali.org,1.0,https
1718640403.651631,CZucK24rBVVuwBdlbi,192.168.1.4,51771.0,192.168.1.1,53.0,udp,test2.kali.org,1.0,https
1718642038.429699,C0jwor2gg8EbtmPZ2d,192.168.1.4,43040.0,108.162.193.209,53.0,udp,121.103.39.54.in-addr.arpa,1.0,dns
1718640400.208556,C16foG3rC8dMyK72r4,192.168.1.4,52139.0,192.168.1.1,53.0,udp,recensement2011.kali.org,1.0,https
1718641416.765555,CYu6yA3d8tlMS7M9Hl,192.168.1.4,45615.0,172.64.33.209,53.0,udp,136.49.39.54.in-addr.arpa,1.0,dns
1718640318.439638,COSC97516Iw5tMJK5,192.168.1.4,50398.0,185.125.190.66,53.0,udp,68.189.125.185.in-addr.arpa,1.0,dns
1718641834.173449,Cudra12OEIm1le01p2,192.168.1.4,56904.0,108.162.192.136,53.0,udp,41.103.39.54.in-addr.arpa,1.0,dns
1718640517.32204,COFxLC2GAct7aiX1xa,192.168.1.4,57158.0,108.162.193.209,53.0,udp,43.24.211.18.in-addr.arpa,1.0,dns
1718641372.050401,CsLsof2ArIdi4Rbw4b,192.168.1.4,59464.0,108.162.192.136,53.0,udp,118.49.39.54.in-addr.arpa,1.0,dns
1718640011.41443,CnxmQW1W7mEkkig191,192.168.1.4,48849.0,192.168.1.1,53.0,udp,tr.ubuntu.com,1.0,https
1718641932.648262,CZyjhS1OWHY7wxdcj5,192.168.1.4,33831.0,173.245.59.209,53.0,udp,80.103.39.54.in-addr.arpa,1.0,dns
1718642032.814278,Cudra12OEIm1le01p2,192.168.1.4,56904.0,108.162.192.136,53.0,udp,118.103.39.54.in-addr.arpa,1.0,dns
