ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,duration,local_orig,proto,orig_bytes,resp_bytes,conn_state,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,label
1722971868.924886,Cw9xjm8v8oceQbC51,192.168.1.4,49013,192.168.1.1,53,0.009820938100000001,True,udp,32,229,SF,True,0,Dd,1,60,1,257,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.313071,CAdgm430Gp9NlZiSo1,192.168.1.4,45570,192.168.1.1,53,0.009820938100000001,True,tcp,32,229,SF,True,0,Dd,1,60,1,257,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971872.092935,CuSTQJ1fiJXNT1HZma,192.168.1.4,33724,142.251.16.148,443,0.009820938100000001,True,tcp,32,229,SF,True,0,Dd,1,60,1,257,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971867.336996,CjCClr2Y2gQ69ebwIg,192.168.1.4,46328,192.168.1.1,53,0.0083699226,True,udp,46,114,SF,True,0,Dd,1,74,1,142,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.161932,CXdLzMqAHdazwbtBk,192.168.1.4,59757,192.168.1.1,53,0.0083699226,True,udp,46,114,SF,True,0,Dd,1,74,1,142,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.29468,CrXRh71rPMkwemmNtc,192.168.1.4,47640,91.227.144.189,443,0.0083699226,True,udp,46,114,SF,True,0,Dd,1,74,1,142,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.448012,CKziKpUPMcsEb3lQa,192.168.1.4,38655,192.168.1.1,53,0.0083699226,True,udp,46,114,SF,True,0,Dd,1,74,1,142,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.567196,C7mjKwCPS8GkFLt21,192.168.1.4,52573,192.168.1.1,53,0.0083699226,True,udp,46,114,SF,True,0,Dd,1,74,1,142,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.333947,COwX1Y3WQt4aLqrFJc,192.168.1.4,60413,192.168.1.1,53,0.0083699226,True,udp,46,114,SF,True,0,Dd,1,74,1,142,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971870.996944,CLarfIAjiUvHv7l5c,192.168.1.4,38489,192.168.1.1,53,0.0083699226,True,udp,46,114,SF,True,0,Dd,1,74,1,142,e82a82d1a907d17e,e82a82d1a907d17e,DNS
