id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
192.168.1.4,34388.0,152.195.19.97,443.0,tcp,78.1930620670319,2414.0,7009.0,RSTO,1.0,0.0,0.0,ShADadfR,15.0,3202.0,17.0,7901.0,0.0
192.168.1.4,59001.0,192.168.1.1,53.0,udp,0.020314931869506,49.0,114.0,SF,1.0,1.0,0.0,Dd,1.0,77.0,1.0,142.0,0.0
192.168.1.6,35564.0,192.168.1.4,22.0,SSH,18.088032007217407,1631.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2523.0,22.0,3238.0,1.0
192.168.1.4,39816.0,13.107.42.14,443.0,udp,0.043740034103393,46.0,116.0,SF,1.0,1.0,0.0,Dd,1.0,74.0,1.0,144.0,0.0
192.168.1.6,35354.0,192.168.1.4,22.0,SSH,18.091259002685547,1647.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2539.0,22.0,3238.0,1.0
192.168.1.4,50046.0,45.60.73.20,443.0,tcp,60.1752769947052,1846.0,5697.0,RSTO,1.0,0.0,0.0,ShADadfR,15.0,2634.0,14.0,6433.0,0.0
192.168.1.4,45697.0,192.168.1.1,53.0,udp,1.16854596138,2384.0,225727.0,SF,1.0,0.0,0.0,ShADadFf,84.0,6760.0,143.0,233171.0,0.0
192.168.1.4,55740.0,35.244.159.8,443.0,udp,0.182831048965454,54.0,203.0,SF,1.0,1.0,0.0,IIiishhHH,1.0,82.0,1.0,231.0,0.0
192.168.1.4,59021.0,192.168.1.1,53.0,udp,0.05859088897705,42.0,178.0,SF,1.0,1.0,0.0,Dd,1.0,70.0,1.0,206.0,0.0
192.168.1.4,39494.0,3.230.80.158,443.0,tcp,5.53728580474854,2522.0,6059.0,SF,1.0,0.0,0.0,ShADadFf,15.0,3310.0,14.0,6795.0,0.0
192.168.1.4,32835.0,31.13.71.7,443.0,udp,0.067631006240844,2759.0,4307.0,SF,1.0,0.0,0.0,Dd,6.0,2927.0,8.0,4531.0,0.0
192.168.1.4,60043.0,192.168.1.1,53.0,udp,0.126511096954345,49.0,335.0,SF,1.0,1.0,0.0,Dd,1.0,77.0,1.0,363.0,0.0
192.168.1.4,53366.0,35.227.252.103,443.0,udp,0.031304836273193,43.0,240.0,SF,1.0,1.0,0.0,Dd,1.0,71.0,1.0,268.0,0.0
192.168.1.4,41006.0,192.168.1.1,53.0,udp,0.001801967620849,45.0,105.0,SF,1.0,1.0,0.0,Dd,1.0,73.0,1.0,133.0,0.0
192.168.1.4,51508.0,23.205.105.30,443.0,tcp,33.4902858734131,3224.0,7963.0,SF,1.0,0.0,0.0,ShADadFRf,15.0,3988.0,15.0,8751.0,0.0
192.168.1.6,51088.0,192.168.1.4,22.0,SSH,18.13089895248413,1631.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,19.0,2627.0,23.0,3290.0,1.0
192.168.1.4,60351.0,192.168.1.1,53.0,udp,0.073374986648559,43.0,141.0,SF,1.0,1.0,0.0,Dd,1.0,71.0,1.0,169.0,0.0
192.168.1.4,44042.0,3.166.192.60,443.0,udp,0.062546968460083,49.0,444.0,SF,1.0,1.0,0.0,Dd,1.0,77.0,1.0,472.0,0.0
192.168.1.4,34993.0,192.168.1.1,53.0,udp,0.015695095062255,41.0,176.0,SF,1.0,1.0,0.0,Dd,1.0,69.0,1.0,204.0,0.0
192.168.1.6,45712.0,192.168.1.4,22.0,SSH,18.09887409210205,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0
192.168.1.6,36004.0,192.168.1.4,22.0,SSH,18.0900981426239,1631.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2523.0,22.0,3238.0,1.0
192.168.1.6,56432.0,192.168.1.4,22.0,SSH,18.096370935440063,1615.0,2086.0,SF,1.0,1.0,0.0,ShAdDaFf,17.0,2507.0,23.0,3290.0,1.0
192.168.1.4,34051.0,192.168.1.1,53.0,udp,0.026965141296386,41.0,161.0,SF,1.0,1.0,0.0,Dd,1.0,69.0,1.0,189.0,0.0
192.168.1.4,49430.0,20.15.0.25,443.0,udp,0.069431066513061,3751.0,865.0,RSTO,1.0,0.0,0.0,IIiisIHhHH,8.0,4175.0,8.0,1289.0,0.0
192.168.1.6,39000.0,192.168.1.4,22.0,SSH,18.089949131011963,1615.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2507.0,22.0,3238.0,1.0
192.168.1.4,38232.0,192.168.1.1,53.0,udp,0.061155080795288,68.0,251.0,SF,1.0,1.0,0.0,Dd,1.0,96.0,1.0,279.0,0.0
192.168.1.6,48542.0,192.168.1.4,22.0,SSH,18.09893584251404,1615.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2507.0,22.0,3238.0,1.0
192.168.1.4,41271.0,192.168.1.1,53.0,udp,0.069298982620239,1818.0,5696.0,SF,1.0,0.0,0.0,ShADadFf,10.0,2346.0,10.0,6224.0,0.0
192.168.1.4,43944.0,52.223.40.198,443.0,tcp,0.014673948287963,0.0,0.0,RSTO,1.0,0.0,0.0,ShR,2.0,100.0,1.0,60.0,0.0
192.168.1.4,44424.0,100.20.78.66,443.0,tcp,60.1909339427948,1853.0,5751.0,RSTO,1.0,0.0,0.0,ShADadfR,12.0,2485.0,13.0,6435.0,0.0
192.168.1.6,54468.0,192.168.1.4,22.0,SSH,18.092498064041138,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0
192.168.1.4,36723.0,192.168.1.1,53.0,udp,1.28867888450623,1812.0,4244.0,SF,1.0,0.0,0.0,ShADadFfR,11.0,2368.0,11.0,4824.0,0.0
